Sample	Reads	Mapped	Map-Rate	Duplicates	Dup-Rate	Depth	Coverage	Insert-size
BC6	46209074	42068154	0.910	0	0.000	1.78741	0.580402	108.0
BC7	41529746	41154979	0.991	0	0.000	1.73477	0.561029	111.7
BC8	33778799	33525410	0.992	0	0.000	1.74465	0.630766	207.1
BC9	31717020	28070729	0.885	0	0.000	1.30655	0.495437	135.6
FC1	29389650	29082577	0.990	0	0.000	1.36315	0.52353	158.1
FC10	47643611	44504710	0.934	0	0.000	2.01739	0.6489	128.6
FC11	129317204	128370855	0.993	0	0.000	5.24341	0.89127	98.1
FC2	11735064	11648304	0.993	0	0.000	0.746032	0.401385	223.5
FC3	29152362	28891397	0.991	0	0.000	1.34416	0.52446	148.9
FC4	75523877	70639568	0.935	0	0.000	3.03475	0.761621	111.3
FC5	82683320	82054441	0.992	0	0.000	3.28435	0.758433	94.7
FC6	31651951	27962177	0.883	0	0.000	1.35553	0.520059	145.4
FC7	42147950	38666663	0.917	0	0.000	1.7942	0.602965	128.3
FC8	30117291	26878860	0.892	0	0.000	1.28703	0.500841	143.8
FC9	96029160	88740004	0.924	0	0.000	3.87303	0.8254	110.8
NR1	29584638	29006920	0.980	0	0.000	1.25611	0.481649	129.0
NR2	46825234	45928992	0.981	0	0.000	1.99579	0.619406	122.8
NR3	36284879	29372723	0.810	0	0.000	1.4485	0.524026	152.8
NR4	20374647	19866291	0.975	0	0.000	1.00725	0.429362	173.0
NR5	18946090	14696122	0.776	0	0.000	0.69313	0.312967	146.6
NR6	25661270	24446824	0.953	0	0.000	0.973334	0.352115	104.0
NR7	68755639	63855368	0.929	0	0.000	2.63714	0.693098	102.3
NR8	34855240	34113905	0.979	0	0.000	1.49349	0.515473	124.7
NR9	36405305	31158097	0.856	0	0.000	1.29576	0.465108	105.2
PC_1	53103095	47314044	0.891	0	0.000	2.06121	0.627334	119.7
PC_2	21656295	16352640	0.755	0	0.000	0.778692	0.337839	154.3
PC_3	153937347	151915064	0.987	0	0.000	5.68114	0.877244	85.6
PC2_1	17086851	13094606	0.766	0	0.000	0.645038	0.296274	165.6
PC2_2	33535695	30423105	0.907	0	0.000	1.42244	0.533695	147.5
PC2_3	25178580	15284776	0.607	0	0.000	0.657369	0.260503	118.6
