File	Sample	Latitude	Longitude
1028A_2_S4_L001_R2_001.fastq.gz	1028A	37.8774263	-122.580929
1028B_S8_L007_R1_001.fastq.gz	1028B	37.8774263	-122.580929
1028B_S8_L007_R2_001.fastq.gz	1028B	37.8774263	-122.580929
1028C_R1.fastq.gz	1028C	37.8774263	-122.580929
1028C_R2.fastq.gz	1028C	37.8774263	-122.580929
1029A_R1.fastq.gz	1029A	36.249961	-121.782568
1029A_R2.fastq.gz	1029A	36.249961	-121.782568
1029B_R1.fastq.gz	1029B	36.249961	-121.782568
1029B_R2.fastq.gz	1029B	36.249961	-121.782568
1029C_R1.fastq.gz	1029C	36.249961	-121.782568
1029C_R2.fastq.gz	1029C	36.249961	-121.782568
1030A_R1.fastq.gz	1030A	36.263736	-121.799484
1030A_R2.fastq.gz	1030A	36.263736	-121.799484
1030B_R1.fastq.gz	1030B	36.263736	-121.799484
1030B_R2.fastq.gz	1030B	36.263736	-121.799484
1030C_R1.fastq.gz	1030C	36.263736	-121.799484
1030C_R2.fastq.gz	1030C	36.263736	-121.799484
1031A_R1.fastq.gz	1031A	37.5825733	-122.4945294
1031A_R2.fastq.gz	1031A	37.5825733	-122.4945294
1031B_R1.fastq.gz	1031B	37.5804978	-122.4741265
1031B_R2.fastq.gz	1031B	37.5804978	-122.4741265
1031C_R1.fastq.gz	1031C	37.5804978	-122.4741265
1031C_R2.fastq.gz	1031C	37.5804978	-122.4741265
1032A_R1.fastq.gz	1032A	38.0024618	-122.7082558
1032A_R2.fastq.gz	1032A	38.0024618	-122.7082558
1033A_R1.fastq.gz	1033A	38.0186109	-122.7338746
1033A_R2.fastq.gz	1033A	38.0186109	-122.7338746
1033C_S11_L007_R1_001.fastq.gz	1033C	38.0186614	-122.733939
1033C_S11_L007_R2_001.fastq.gz	1033C	38.0186614	-122.733939
1034A_S9_L007_R1_001.fastq.gz	1034A	38.036258	-122.8000112
1034A_S9_L007_R2_001.fastq.gz	1034A	38.036258	-122.8000112
1034B_S10_L007_R1_001.fastq.gz	1034B	38.036258	-122.8000112
1034B_S10_L007_R2_001.fastq.gz	1034B	38.036258	-122.8000112
1034C_R1.fastq.gz	1034C	38.036258	-122.8000112
1034C_R2.fastq.gz	1034C	38.036258	-122.8000112
1034D_S12_L007_R1_001.fastq.gz	1034D	38.036258	-122.8000112
1034D_S12_L007_R2_001.fastq.gz	1034D	38.036258	-122.8000112
1035A_S13_L007_R1_001.fastq.gz	1035A	38.5175627	-123.2413502
1035A_S13_L007_R2_001.fastq.gz	1035A	38.5175627	-123.2413502
1035C_R1.fastq.gz	1035C	38.5183916	-123.241202
1035C_R2.fastq.gz	1035C	38.5183916	-123.241202
1036C_R1.fastq.gz	1036C	39.3520868	-123.5576705
1036C_R2.fastq.gz	1036C	39.3520868	-123.5576705
1036D_2_S5_L001_R1_001.fastq.gz	1036D	39.3520868	-123.5576705
1036D_2_S5_L001_R2_001.fastq.gz	1036D	39.3520868	-123.5576705
1037A_R1.fastq.gz	1037A	39.2771717	-123.7823173
1037A_R2.fastq.gz	1037A	39.2771717	-123.7823173
1037B_2_S6_L001_R1_001.fastq.gz	1037B	39.2771717	-123.7823173
1037B_2_S6_L001_R2_001.fastq.gz	1037B	39.2771717	-123.7823173
1037C_R1.fastq.gz	1037C	39.2771717	-123.7823173
1037C_R2.fastq.gz	1037C	39.2771717	-123.7823173
1037D_2_S7_L001_R1_001.fastq.gz	1037D	39.2771717	-123.7823173
1037D_2_S7_L001_R2_001.fastq.gz	1037D	39.2771717	-123.7823173
1038A_R1.fastq.gz	1038A	39.4447061	-123.794071
1038A_R2.fastq.gz	1038A	39.4447061	-123.794071
1038B_2_S8_L001_R1_001.fastq.gz	1038B	39.4447061	-123.794071
1038B_2_S8_L001_R2_001.fastq.gz	1038B	39.4447061	-123.794071
1038D_S14_L007_R1_001.fastq.gz	1038D	39.4447061	-123.794071
1038D_S14_L007_R2_001.fastq.gz	1038D	39.4447061	-123.794071
1039A_R1.fastq.gz	1039A	39.661179	-123.7751615
1039A_R2.fastq.gz	1039A	39.661179	-123.7751615
1039B_S15_L007_R1_001.fastq.gz	1039B	39.661179	-123.7751615
1039B_S15_L007_R2_001.fastq.gz	1039B	39.661179	-123.7751615
1039C_2_S5_L002_R1_001.fastq.gz	1039C	39.661179	-123.7751615
1039C_2_S5_L002_R2_001.fastq.gz	1039C	39.661179	-123.7751615
1040A_2_S9_L001_R1_001.fastq.gz	1040A	39.7531982	-123.8208046
1040A_2_S9_L001_R2_001.fastq.gz	1040A	39.7531982	-123.8208046
1040B_S16_L007_R1_001.fastq.gz	1040B	39.7531982	-123.8208046
1040B_S16_L007_R2_001.fastq.gz	1040B	39.7531982	-123.8208046
1040C_2_S6_L002_R1_001.fastq.gz	1040C	39.7531982	-123.8208046
1040C_2_S6_L002_R2_001.fastq.gz	1040C	39.7531982	-123.8208046
1040D_R1.fastq.gz	1040D	39.7531982	-123.8208046
1040D_R2.fastq.gz	1040D	39.7531982	-123.8208046
1041B_R1.fastq.gz	1041B	40.0200191	-123.797287
1041B_R2.fastq.gz	1041B	40.0200191	-123.797287
1042A_2_S10_L001_R1_001.fastq.gz	1042A	40.6921204	-124.1412351
1042A_2_S10_L001_R2_001.fastq.gz	1042A	40.6921204	-124.1412351
1042B_R1.fastq.gz	1042B	40.6921204	-124.1412351
1042B_R2.fastq.gz	1042B	40.6921204	-124.1412351
1042C_2_S7_L002_R1_001.fastq.gz	1042C	40.6921204	-124.1412351
1042C_2_S7_L002_R2_001.fastq.gz	1042C	40.6921204	-124.1412351
1042D_S17_L007_R1_001.fastq.gz	1042D	40.6921204	-124.1412351
1042D_S17_L007_R2_001.fastq.gz	1042D	40.6921204	-124.1412351
1043A_R1.fastq.gz	1043A	40.869635	-124.0680765
1043A_R2.fastq.gz	1043A	40.869635	-124.0680765
1043B_R1.fastq.gz	1043B	40.8726074	-124.0632683
1043B_R2.fastq.gz	1043B	40.8726074	-124.0632683
1043C_2_S8_L002_R1_001.fastq.gz	1043C	40.8699058	-124.0717957
1043C_2_S8_L002_R2_001.fastq.gz	1043C	40.8699058	-124.0717957
1044A_R1.fastq.gz	1044A	41.8215122	-124.1414895
1044A_R2.fastq.gz	1044A	41.8215122	-124.1414895
1044B_R1.fastq.gz	1044B	41.8217469	-124.1414107
1044B_R2.fastq.gz	1044B	41.8217469	-124.1414107
1044C_R1.fastq.gz	1044C	41.8219303	-124.1416813
1044C_R2.fastq.gz	1044C	41.8219303	-124.1416813
1045A_2_S11_L001_R1_001.fastq.gz	1045A	39.2771432	-123.7787804
1045A_2_S11_L001_R2_001.fastq.gz	1045A	39.2771432	-123.7787804
1045B_2_S9_L002_R1_001.fastq.gz	1045B	39.2771432	-123.7787804
1045B_2_S9_L002_R2_001.fastq.gz	1045B	39.2771432	-123.7787804
1045C_R1.fastq.gz	1045C	39.2771432	-123.7787804
1045C_R2.fastq.gz	1045C	39.2771432	-123.7787804
1045D_S18_L007_R1_001.fastq.gz	1045D	39.2771432	-123.7787804
1045D_S18_L007_R2_001.fastq.gz	1045D	39.2771432	-123.7787804
1046A_R1.fastq.gz	1046A	35.836097	-121.3916922
1046A_R2.fastq.gz	1046A	35.836097	-121.3916922
1046B_R1.fastq.gz	1046B	35.836097	-121.3916922
1046B_R2.fastq.gz	1046B	35.836097	-121.3916922
1046C_R1.fastq.gz	1046C	35.836097	-121.3916922
1046C_R2.fastq.gz	1046C	35.836097	-121.3916922
1046D_R1.fastq.gz	1046D	35.836097	-121.3916922
1046D_R2.fastq.gz	1046D	35.836097	-121.3916922
1047A_R1.fastq.gz	1047A	35.4228871	-120.7296533
1047A_R2.fastq.gz	1047A	35.4228871	-120.7296533
1047B_R1.fastq.gz	1047B	35.4228871	-120.7296533
1047B_R2.fastq.gz	1047B	35.4228871	-120.7296533
1047C_R1.fastq.gz	1047C	35.4228871	-120.7296533
1047C_R2.fastq.gz	1047C	35.4228871	-120.7296533
1048A_R1.fastq.gz	1048A	34.51222234	-119.7546415
1048A_R2.fastq.gz	1048A	34.51222234	-119.7546415
1048B_R1.fastq.gz	1048B	34.51222234	-119.7546415
1048B_R2.fastq.gz	1048B	34.51222234	-119.7546415
1048C_R1.fastq.gz	1048C	34.51222234	-119.7546415
